shreeyash@ObsedianPrime:/mnt/e/gsm-sip-gatewaygit/gsm-sip-gatewaygit/android$ adb shell su -c "tinymix"
Mixer name: 'sm6150-idp-snd-card'
Number of controls: 3409
ctl     type    num     name                                     value
206     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia3 Off Off
207     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia4 Off Off
208     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia5 Off Off
209     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia6 Off Off
210     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia7 Off Off
211     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia8 Off Off
212     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia9 Off Off
213     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia10 Off Off
214     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia11 Off Off
215     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia12 Off Off
216     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia13 Off Off
217     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia14 Off Off
218     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia15 Off Off
219     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia16 Off Off
220     BOOL    2       WSA_CDC_DMA_RX_0 Audio Mixer MultiMedia26 Off Off
221     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia1 Off Off
222     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia2 Off Off
223     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia3 Off Off
224     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia4 Off Off
225     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia5 Off Off
226     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia6 Off Off
227     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia7 Off Off
228     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia8 Off Off
229     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia9 Off Off
230     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia10 Off Off
231     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia11 Off Off
232     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia12 Off Off
233     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia13 Off Off
234     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia14 Off Off
235     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia15 Off Off
236     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia16 Off Off
237     BOOL    2       WSA_CDC_DMA_RX_1 Audio Mixer MultiMedia26 Off Off
238     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia1  Off Off
239     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia2  Off Off
240     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia3  Off Off
241     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia4  Off Off
242     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia5  Off Off
243     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia6  Off Off
244     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia7  Off Off
245     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia8  Off Off
246     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia9  Off Off
247     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia10 Off Off
248     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia11 Off Off
249     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia12 Off Off
250     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia13 Off Off
251     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia14 Off Off
252     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia15 Off Off
253     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia16 Off Off
254     BOOL    2       RX_CDC_DMA_RX_0 Audio Mixer MultiMedia26 Off Off
255     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia1  Off Off
256     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia2  Off Off
257     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia3  Off Off
258     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia4  Off Off
259     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia5  Off Off
260     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia6  Off Off
261     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia7  Off Off
262     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia8  Off Off
263     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia9  Off Off
264     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia10 Off Off
265     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia11 Off Off
266     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia12 Off Off
267     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia13 Off Off
268     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia14 Off Off
269     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia15 Off Off
270     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia16 Off Off
271     BOOL    2       RX_CDC_DMA_RX_1 Audio Mixer MultiMedia26 Off Off
272     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia1  Off Off
273     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia2  Off Off
274     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia3  Off Off
275     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia4  Off Off
276     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia5  Off Off
277     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia6  Off Off
278     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia7  Off Off
279     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia8  Off Off
280     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia9  Off Off
281     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia10 Off Off
282     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia11 Off Off
283     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia12 Off Off
284     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia13 Off Off
285     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia14 Off Off
286     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia15 Off Off
287     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia16 Off Off
288     BOOL    2       RX_CDC_DMA_RX_2 Audio Mixer MultiMedia26 Off Off
289     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia1  Off Off
290     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia2  Off Off
291     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia3  Off Off
292     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia4  Off Off
293     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia5  Off Off
294     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia6  Off Off
295     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia7  Off Off
296     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia8  Off Off
297     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia9  Off Off
298     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia10 Off Off
299     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia11 Off Off
300     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia12 Off Off
301     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia13 Off Off
302     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia14 Off Off
303     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia15 Off Off
304     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia16 Off Off
305     BOOL    2       RX_CDC_DMA_RX_3 Audio Mixer MultiMedia26 Off Off
306     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia1  Off Off
307     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia2  Off Off
308     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia3  Off Off
309     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia4  Off Off
310     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia5  Off Off
311     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia6  Off Off
312     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia7  Off Off
313     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia8  Off Off
314     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia9  Off Off
315     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia10 Off Off
316     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia11 Off Off
317     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia12 Off Off
318     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia13 Off Off
319     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia14 Off Off
320     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia15 Off Off
321     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia16 Off Off
322     BOOL    2       RX_CDC_DMA_RX_4 Audio Mixer MultiMedia26 Off Off
323     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia1  Off Off
324     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia2  Off Off
325     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia3  Off Off
326     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia4  Off Off
327     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia5  Off Off
328     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia6  Off Off
329     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia7  Off Off
330     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia8  Off Off
331     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia9  Off Off
332     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia10 Off Off
333     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia11 Off Off
334     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia12 Off Off
335     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia13 Off Off
336     BOOL    2       RX_CDC_DMA_RX_5 Audio Mixer MultiMedia14 Off Off
